Traditional,Simplified,Eng.Tran.,Length,Pinyin,Pinyin.Input,WCount,W.million,log10W,W-CD,W-CD%,log10CD,Dominant.PoS,Dominant.PoS.Freq,All.PoS,All.PoS.Freq
恩,恩,kind act (from above),1,en1,en,5073,151.22,3.7053,1435,22.99,3.1569,g,4993,.g.nr.,.4993.80.
不少,不少,not (just) a few,2,bu4 shao3,bushao,1956,58.31,3.2914,1435,22.99,3.1569,m,1956,.m.,.1956.
治療,治疗,to treat/to cure/(medical) treatment/cure,2,zhi4 liao2,zhiliao,3399,101.32,3.5314,1433,22.95,3.1562,v,2173,.v.vn.,.2173.1226.
唱,唱,sing/to call loudly/to chant,1,chang4,chang,6300,187.8,3.7993,1430,22.91,3.1553,v,6300,.v.,.6300.
恐怖,恐怖,terrible/frightful/frightening/terror/terrorist,2,kong3 bu4,kongbu,2994,89.25,3.4763,1430,22.91,3.1553,a,2936,.a.an.,.2936.58.
組,组,to form/compose/make up/group/to organize/cord,1,zu3,zu,3623,108,3.5591,1430,22.91,3.1553,n,2277,.n.q.g.v.,.2277.1334.10.2.
常,常,always/ever/often/frequently/common/general/constant/surname Chang,1,chang2,chang,2040,60.81,3.3096,1429,22.89,3.155,d,2003,.d.nr.,.2003.37.
拿走,拿走,to take away,2,na2 zou3,nazou,2109,62.87,3.3241,1429,22.89,3.155,v,2109,.v.,.2109.
多謝,多谢,many thanks/thanks a lot,2,duo1 xie4,duoxie,2641,78.73,3.4218,1423,22.79,3.1532,v,2641,.v.,.2641.
性感,性感,sex appeal/eroticism/sexuality,2,xing4 gan3,xinggan,2973,88.62,3.4732,1422,22.78,3.1529,a,2043,.a.n.,.2043.930.
出發,出发,to start out/to set off,2,chu1 fa1,chufa,2509,74.79,3.3995,1418,22.71,3.1517,v,2509,.v.,.2509.
意,意,idea/meaning/thought/to think/wish/desire/intention/to expect/to anticipate/abbr. for Italy 意大利,1,yi4,yi,1959,58.4,3.292,1415,22.67,3.1508,g,1109,.g.b.,.1109.850.
非,非,non-/not-/un-/abbr. for Africa 非洲/wrong/evil-doing/insist on/simply must,1,fei1,fei,1948,58.07,3.2896,1414,22.65,3.1504,b,1948,.b.,.1948.
盡力,尽力,to strive one's hardest/to spare no effort,2,jin4 li4,jinli,1906,56.82,3.2801,1412,22.62,3.1498,d,1279,.d.v.,.1279.627.
局,局,"narrow; office/situation/classifier for games: match, set, round etc",1,ju2,ju,3563,106.21,3.5518,1411,22.6,3.1495,n,2465,.n.qv.,.2465.1098.
酒吧,酒吧,bar/pub,2,jiu3 ba1,jiuba,2968,88.47,3.4725,1410,22.59,3.1492,n,2968,.n.,.2968.
方向,方向,direction/orientation/path to follow,2,fang1 xiang4,fangxiang,2156,64.27,3.3336,1407,22.54,3.1483,n,2156,.n.,.2156.
斯,斯,(phonetic)/this,1,si1,si,5262,156.86,3.7212,1406,22.52,3.148,b,3060,.b.Rg.g.r.,.3060.1743.456.3.
項,项,"back of neck/item/thing/term (in a mathematical formula)/sum (of money)/classifier for principles, items, clauses, tasks, research projects etc; surname Xiang",1,xiang4,xiang,2146,63.97,3.3316,1405,22.51,3.1477,q,2146,.q.,.2146.
叫做,叫做,be called/be known as,2,jiao4 zuo4,jiaozuo,2013,60.01,3.3038,1405,22.51,3.1477,v,2013,.v.,.2013.
法律,法律,law,2,fa3 lu:4,falv,3044,90.74,3.4834,1405,22.51,3.1477,n,3044,.n.,.3044.
談話,谈话,talk/conversation,2,tan2 hua4,tanhua,2023,60.3,3.306,1404,22.49,3.1474,vn,1051,.vn.v.n.,.1051.776.196.
警告,警告,to warn/to admonish,2,jing3 gao4,jinggao,2064,61.53,3.3147,1397,22.38,3.1452,v,1750,.v.vn.,.1750.314.
醉,醉,intoxicated,1,zui4,zui,2524,75.24,3.4021,1396,22.36,3.1449,v,2510,.v.vn.,.2510.14.
上去,上去,to go up,2,shang4 qu4,shangqu,1973,58.81,3.2951,1396,22.36,3.1449,v,1973,.v.,.1973.
究竟,究竟,after all (when all is said and done)/actually/outcome/result,2,jiu1 jing4,jiujing,2238,66.71,3.3499,1395,22.35,3.1446,d,2192,.d.n.,.2192.46.
冷,冷,cold,1,leng3,leng,2343,69.84,3.3698,1393,22.31,3.144,a,2268,.a.ad.g.,.2268.73.2.
放開,放开,unleash/release,2,fang4 kai1,fangkai,2753,82.07,3.4398,1393,22.31,3.144,v,2753,.v.,.2753.
偉大,伟大,great/mighty/large,2,wei3 da4,weida,2504,74.64,3.3986,1392,22.3,3.1436,a,2504,.a.,.2504.
絕不,绝不,in no way/not in the least/absolutely not,2,jue2 bu4,juebu,1912,57,3.2815,1392,22.3,3.1436,d,1912,.d.,.1912.
線索,线索,trail/clues/thread (of a story),2,xian4 suo3,xiansuo,3267,97.39,3.5141,1391,22.28,3.1433,n,3267,.n.,.3267.
喝酒,喝酒,to drink (alcohol),2,he1 jiu3,hejiu,2249,67.04,3.352,1382,22.14,3.1405,v,2249,.v.,.2249.
腦袋,脑袋,head/skull/brains/mental capability,2,nao3 dai4,naodai,2165,64.54,3.3355,1380,22.1,3.1399,n,2165,.n.,.2165.
哥哥,哥哥,older brother,2,ge1 ge5,gege,3700,110.29,3.5682,1380,22.1,3.1399,n,3700,.n.,.3700.
罪,罪,guilt/crime/fault/blame/sin,1,zui4,zui,2760,82.27,3.4409,1379,22.09,3.1396,n,2760,.n.,.2760.
聞,闻,to hear/news/well-known/famous/reputation/fame/to smell/to sniff at/surname Wen,1,wen2,wen,2337,69.66,3.3687,1379,22.09,3.1396,v,2337,.v.,.2337.
人物,人物,"a person/a character (in a play, novel etc)/a protagonist",2,ren2 wu4,renwu,2014,60.04,3.3041,1378,22.07,3.1392,n,2014,.n.,.2014.
想起,想起,to recall/to think of/to call to mind,2,xiang3 qi3,xiangqi,1869,55.71,3.2716,1378,22.07,3.1392,v,1869,.v.,.1869.
學習,学习,to learn/to study,2,xue2 xi2,xuexi,2385,71.1,3.3775,1377,22.06,3.1389,v,2203,.v.vn.,.2203.182.
呼吸,呼吸,breathe,2,hu1 xi1,huxi,2435,72.59,3.3865,1375,22.02,3.1383,v,2220,.v.vn.,.2220.215.
帥,帅,handsome/graceful/smart/commander in chief,1,shuai4,shuai,2268,67.61,3.3556,1374,22.01,3.138,nr,1887,.nr.g.,.1887.381.
臭,臭,stench/stink/smelly/to smell (bad); sense of smell/smell bad,1,chou4/xiu4,chou,2499,74.49,3.3978,1374,22.01,3.138,a,2494,.a.g.,.2494.5.
頓,顿,"stop/pause/to arrange/to lay out/to kowtow/to stamp/at once/classifier for meals, beating, tellings off etc: time, bout, spell, meal",1,du2/dun4,dun,2382,71.01,3.3769,1374,22.01,3.138,qv,2076,.qv.g.,.2076.306.
好幾,好几,several/quite a few,2,hao3 ji3,haoji,1714,51.09,3.234,1373,21.99,3.1377,m,1714,.m.,.1714.
人類,人类,humanity/human race/mankind,2,ren2 lei4,renlei,3857,114.97,3.5862,1372,21.98,3.1374,n,3857,.n.,.3857.
夢想,梦想,to dream of/to hope in vain,2,meng4 xiang3,mengxiang,2790,83.17,3.4456,1372,21.98,3.1374,n,2395,.n.v.,.2395.395.
上班,上班,to go to work/to be on duty/to start work/to go to the office,2,shang4 ban1,shangban,2221,66.21,3.3465,1372,21.98,3.1374,v,2213,.v.vn.,.2213.8.
嘗試,尝试,to try/to attempt,2,chang2 shi4,changshi,2045,60.96,3.3107,1368,21.91,3.1361,v,1689,.v.vn.,.1689.356.
瘋子,疯子,madman/lunatic,2,feng1 zi5,fengzi,2143,63.88,3.331,1365,21.86,3.1351,n,2143,.n.,.2143.
室,室,room,1,shi4,shi,2526,75.3,3.4024,1365,21.86,3.1351,n,2526,.n.,.2526.
推,推,to push/to cut/to refuse/to reject/to decline/to shirk (responsibility)/to put off/to delay/to push forward/to nominate/to elect,1,tui1,tui,2249,67.04,3.352,1365,21.86,3.1351,v,2249,.v.,.2249.
樂意,乐意,happy to do sth/content/satisfied,2,le4 yi4,leyi,1744,51.99,3.2415,1361,21.8,3.1339,v,1744,.v.,.1744.
健康,健康,health/healthy,2,jian4 kang1,jiankang,2168,64.63,3.3361,1361,21.8,3.1339,a,1470,.a.an.ad.,.1470.534.164.
命令,命令,order/command,2,ming4 ling4,mingling,3147,93.81,3.4979,1361,21.8,3.1339,n,2683,.n.v.,.2683.464.
榮幸,荣幸,honored,2,rong2 xing4,rongxing,1919,57.2,3.2831,1360,21.78,3.1335,a,1819,.a.an.,.1819.100.
假裝,假装,to feign/to pretend,2,jia3 zhuang1,jiazhuang,1870,55.74,3.2718,1360,21.78,3.1335,v,1870,.v.,.1870.
妹妹,妹妹,younger sister/fig. younger woman (esp. girl friend or rival),2,mei4 mei5,meimei,3262,97.24,3.5135,1359,21.77,3.1332,n,3262,.n.,.3262.
好處,好处,benefit/advantage,2,hao3 chu5,haochu,1776,52.94,3.2494,1358,21.75,3.1329,n,1776,.n.,.1776.
驕傲,骄傲,arrogant/conceited/full of oneself/proud,2,jiao1 ao4,jiaoao,2094,62.42,3.321,1357,21.74,3.1326,an,1287,.an.a.,.1287.807.
背,背,carry on one's back; to be burdened/to carry on the back or shoulder; the back of a body or object/to turn one's back/to hide something from/to learn by heart/to recite from memory,1,bei1/bei4,bei,2023,60.3,3.306,1356,21.72,3.1323,v,1606,.v.n.,.1606.417.
超,超,to exceed/overtake/surpass/transcend/ultra-/super-/to pass/to cross,1,chao1,chao,3327,99.18,3.5221,1356,21.72,3.1323,v,2020,.v.h.,.2020.1307.
激動,激动,to excite/to agitate/exciting,2,ji1 dong4,jidong,2096,62.48,3.3214,1356,21.72,3.1323,a,2071,.a.an.,.2071.25.
顆,颗,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",1,ke1,ke,2462,73.39,3.3913,1355,21.7,3.1319,q,2462,.q.,.2462.
歷史,历史,history,2,li4 shi3,lishi,2325,69.31,3.3664,1355,21.7,3.1319,n,2325,.n.,.2325.
男朋友,男朋友,male friend/boyfriend,3,nan2 peng2 you5,nanpengyou,2478,73.87,3.3941,1355,21.7,3.1319,n,2478,.n.,.2478.
弟弟,弟弟,younger brother,2,di4 di5,didi,3376,100.64,3.5284,1354,21.69,3.1316,n,3376,.n.,.3376.
長官,长官,senior official,2,zhang3 guan1,zhangguan,6780,202.11,3.8312,1353,21.67,3.1313,n,6780,.n.,.6780.
案,案,(legal) case/incident/record/file/table,1,an4,an,3412,101.71,3.533,1352,21.66,3.131,g,3412,.g.,.3412.
象,象,elephant/shape/form/appearance/of that shape/comparable to/such as.../image under a map (math.),1,xiang4,xiang,5011,149.37,3.6999,1352,21.66,3.131,g,4459,.g.n.,.4459.552.
確保,确保,ensure/guarantee,2,que4 bao3,quebao,1833,54.64,3.2632,1351,21.64,3.1307,v,1833,.v.,.1833.
短,短,lack/short,1,duan3,duan,2303,68.65,3.3623,1351,21.64,3.1307,a,2303,.a.,.2303.
收拾,收拾,to put in order/to tidy up,2,shou1 shi5,shoushi,1941,57.86,3.288,1350,21.62,3.1303,v,1941,.v.,.1941.
自我,自我,self-,2,zi4 wo3,ziwo,1950,58.13,3.29,1347,21.58,3.1294,r,1950,.r.,.1950.
點兒,点儿,"erhua variant of 点, point/dot/speck/drop/little bit",2,dian3 r5,dianer,4472,133.31,3.6505,1346,21.56,3.129,q,2765,.q.n.m.,.2765.1645.62.
加油,加油,to add oil/to top up with gas/to refuel/to accelerate/abbr. for 加大油门[jia1 da4 you2 men2]/to step on the gas/fig. to make an extra effort/fig. to cheer sb on,2,jia1 you2,jiayou,4411,131.49,3.6445,1344,21.53,3.1284,v,4390,.v.vn.,.4390.21.
停下,停下,to stop,2,ting2 xia4,tingxia,2459,73.3,3.3908,1343,21.51,3.1281,v,2459,.v.,.2459.
似的,似的,seems as if/rather like/also pr. (shi4 de5) or (shi5 de5),2,si4 de5,side,1827,54.46,3.2617,1341,21.48,3.1274,u,1827,.u.,.1827.
急,急,urgent/pressing/rapid/hurried/worried,1,ji2,ji,1826,54.43,3.2615,1338,21.43,3.1265,v,1522,.v.ad.a.,.1522.166.138.
對方,对方,counterpart/other person involved/opposite side/other side/receiving party,2,dui4 fang1,duifang,2036,60.69,3.3088,1337,21.42,3.1261,n,2036,.n.,.2036.
對付,对付,to handle/to deal with/to cope/to get by with,2,dui4 fu5,duifu,1948,58.07,3.2896,1337,21.42,3.1261,v,1948,.v.,.1948.
超過,超过,to surpass/to exceed/to outstrip,2,chao1 guo4,chaoguo,1891,56.37,3.2767,1337,21.42,3.1261,v,1891,.v.,.1891.
長大,长大,to grow up,2,zhang3 da4,changda,1797,53.57,3.2545,1335,21.38,3.1255,v,1797,.v.,.1797.
為止,为止,until,2,wei2 zhi3,weizhi,1726,51.45,3.237,1333,21.35,3.1248,u,1726,.u.,.1726.
確認,确认,to confirm/to verify,2,que4 ren4,queren,2206,65.76,3.3436,1332,21.34,3.1245,v,2153,.v.vn.,.2153.53.
晚餐,晚餐,evening meal/dinner,2,wan3 can1,wancan,2408,71.78,3.3817,1331,21.32,3.1242,n,2408,.n.,.2408.
力,力,power/force/strength,1,li4,li,2278,67.91,3.3576,1331,21.32,3.1242,n,2177,.n.g.,.2177.101.
慢慢,慢慢,slowly,2,man4 man4,manman,1820,54.25,3.2601,1330,21.3,3.1239,d,1820,.d.,.1820.
改,改,to change/to alter/to transform/to correct,1,gai3,gai,1962,58.49,3.2927,1329,21.29,3.1235,v,1962,.v.,.1962.
每次,每次,every time,2,mei3 ci4,meici,1711,51,3.2333,1328,21.27,3.1232,r,1711,.r.,.1711.
心裡,心里,in one's heart and mind; in ones heart and mind,2,xin1 li5,xinli,1801,53.69,3.2555,1325,21.22,3.1222,s,1801,.s.,.1801.
派對,派对,party,2,pai4 dui4,paidui,4231,126.12,3.6264,1325,21.22,3.1222,n,4231,.n.,.4231.
疼,疼,(it) hurts/love fondly/ache/pain/sore,1,teng2,teng,2477,73.84,3.3939,1323,21.19,3.1216,v,1485,.v.a.,.1485.992.
單獨,单独,alone/by oneself/on one's own,2,dan1 du2,dandu,1732,51.63,3.2385,1322,21.18,3.1212,d,1554,.d.b.,.1554.178.
蛋,蛋,egg/oval shaped,1,dan4,dan,2584,77.03,3.4123,1322,21.18,3.1212,n,2584,.n.,.2584.
等待,等待,wait for/await,2,deng3 dai4,dengdai,1907,56.85,3.2804,1322,21.18,3.1212,v,1832,.v.vn.,.1832.75.
周末,周末,weekend,2,zhou1 mo4,zhoumo,2250,67.07,3.3522,1321,21.16,3.1209,t,2250,.t.,.2250.
配,配,to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription),1,pei4,pei,1909,56.91,3.2808,1320,21.14,3.1206,v,1909,.v.,.1909.
故意,故意,deliberately/on purpose,2,gu4 yi4,guyi,1803,53.75,3.256,1317,21.1,3.1196,d,1356,.d.b.,.1356.447.
驚喜,惊喜,be pleasantly surprised,2,jing1 xi3,jingxi,2109,62.87,3.3241,1315,21.06,3.1189,a,1569,.a.an.,.1569.540.
復雜,复杂,complicated/complex,2,fu4 za2,fuza,1812,54.01,3.2582,1314,21.05,3.1186,a,1812,.a.,.1812.
機,机,machine/opportunity/secret,1,ji1,ji,2428,72.38,3.3852,1314,21.05,3.1186,g,2312,.g.n.,.2312.116.
落,落,leave behind; alight/to fall/to drop (behind),1,la4/lao4/luo1/luo4,luo,1733,51.66,3.2388,1311,21,3.1176,v,1733,.v.,.1733.
交易,交易,(business) transaction/business deal,2,jiao1 yi4,jiaoyi,2862,85.31,3.4567,1310,20.98,3.1173,n,2070,.n.vn.v.,.2070.659.133.
技術,技术,technology/technique/skill,2,ji4 shu4,jishu,2136,63.67,3.3296,1310,20.98,3.1173,n,2136,.n.,.2136.
汽車,汽车,car/automobile/bus,2,qi4 che1,qiche,2373,70.74,3.3753,1309,20.97,3.1169,n,2373,.n.,.2373.
上次,上次,last time,2,shang4 ci4,shangci,1672,49.84,3.2232,1309,20.97,3.1169,t,1672,.t.,.1672.
訓練,训练,to train/to drill/training,2,xun4 lian4,xunlian,3039,90.59,3.4827,1306,20.92,3.1159,vn,1761,.vn.v.,.1761.1278.
交給,交给,to give/to deliver/to hand over,2,jiao1 gei3,jiaogei,1790,53.36,3.2529,1301,20.84,3.1143,v,1790,.v.,.1790.
生日,生日,birthday,2,sheng1 ri4,shengri,3800,113.28,3.5798,1299,20.81,3.1136,n,3800,.n.,.3800.
目的,目的,purpose/aim/goal/target/objective,2,mu4 di4,mudi,1835,54.7,3.2636,1299,20.81,3.1136,n,1835,.n.,.1835.
狀態,状态,state of affairs/state/mode,2,zhuang4 tai4,zhuangtai,1938,57.77,3.2874,1294,20.73,3.1119,n,1938,.n.,.1938.
去年,去年,last year,2,qu4 nian2,qunian,1897,56.55,3.2781,1292,20.7,3.1113,t,1897,.t.,.1897.
肉,肉,meat/flesh/pulp (of a fruit),1,rou4,rou,2456,73.21,3.3902,1292,20.7,3.1113,n,2456,.n.,.2456.
設計,设计,plan/design/to design/to plan,2,she4 ji4,sheji,2558,76.25,3.4079,1291,20.68,3.1109,v,1419,.v.vn.,.1419.1139.
簽,签,a note/a stick/sign one's name; sign one's name,1,qian1,qian,2469,73.6,3.3925,1289,20.65,3.1103,v,2398,.v.n.,.2398.71.
畫,画,draw/picture/painting,1,hua4,hua,3795,113.13,3.5792,1289,20.65,3.1103,n,2052,.n.v.q.,.2052.1741.2.
八,八,eight/8,1,ba1/ba2,ba,2090,62.3,3.3201,1289,20.65,3.1103,m,2069,.m.t.,.2069.21.
徹底,彻底,thorough/thoroughing/complete,2,che4 di3,chedi,1680,50.08,3.2253,1289,20.65,3.1103,ad,1232,.ad.a.,.1232.448.
實話,实话,truth,2,shi2 hua4,shihua,1780,53.06,3.2504,1289,20.65,3.1103,n,1780,.n.,.1780.
煩,烦,to feel vexed/to bother/to trouble/superfluous and confusing/edgy,1,fan2,fan,1804,53.78,3.2562,1287,20.62,3.1096,v,1597,.v.a.,.1597.207.
公寓,公寓,apartment,2,gong1 yu4,gongyu,2706,80.66,3.4323,1285,20.58,3.1089,n,2706,.n.,.2706.
爽,爽,bright/clear/crisp/open/frank/straightforward/to feel well/fine/pleasurable/invigorating/to deviate,1,shuang3,shuang,2172,64.75,3.3369,1285,20.58,3.1089,g,2172,.g.,.2172.
許多,许多,many/a lot of/much,2,xu3 duo1,xuduo,2014,60.04,3.3041,1285,20.58,3.1089,m,2014,.m.,.2014.
其它,其它,other/the others/else/other than it/in addition to the thing mentioned above,2,qi2 ta1,qita,2244,66.89,3.351,1285,20.58,3.1089,r,2244,.r.,.2244.
聊,聊,to chat/to have a chat/to kill time,1,liao2,liao,1884,56.16,3.2751,1285,20.58,3.1089,v,1884,.v.,.1884.
參與,参与,to participate (in sth),2,can1 yu4,canyu,1925,57.38,3.2844,1284,20.57,3.1086,v,1815,.v.vn.,.1815.110.
表示,表示,to express/to show/to say/to state/to indicate/to mean,2,biao3 shi4,biaoshi,1761,52.49,3.2458,1282,20.53,3.1079,v,1757,.v.vn.,.1757.4.
文件,文件,document/file,2,wen2 jian4,wenjian,2698,80.43,3.431,1280,20.5,3.1072,n,2698,.n.,.2698.
射,射,radio- (chem.)/shoot,1,she4,she,2530,75.42,3.4031,1280,20.5,3.1072,v,2527,.v.vn.,.2527.3.
英雄,英雄,hero,2,ying1 xiong2,yingxiong,2779,82.84,3.4439,1278,20.47,3.1065,n,2779,.n.,.2779.
不許,不许,not allow/must not/can't,2,bu4 xu3,buxu,2130,63.49,3.3284,1278,20.47,3.1065,d,2130,.d.,.2130.
出色,出色,remarkable/outstanding,2,chu1 se4,chuse,2799,83.44,3.447,1277,20.45,3.1062,a,2773,.a.ad.,.2773.26.
死去,死去,to die,2,si3 qu4,siqu,1974,58.84,3.2953,1277,20.45,3.1062,v,1974,.v.,.1974.
仔細,仔细,careful/attentive/cautious,2,zi3 xi4,zixi,1696,50.56,3.2294,1276,20.44,3.1059,ad,1365,.ad.a.,.1365.331.
搶,抢,see 抢风 contrary wind; fight over/to rush/to scramble/to grab/to rob/to snatch,1,qiang1/qiang3,qiang,2228,66.42,3.3479,1276,20.44,3.1059,v,2228,.v.,.2228.
盡快,尽快,as quickly as possible/as soon as possible/with all speed; as quickly as possible/as soon as possible/with all speed/also written 尽快,2,jin3 kuai4,jinkuai,1698,50.62,3.2299,1275,20.42,3.1055,d,1698,.d.,.1698.
拖,拖,dragging (brush stroke in painting)/to drag along,1,tuo1,tuo,1857,55.36,3.2688,1275,20.42,3.1055,v,1857,.v.,.1857.
彼此,彼此,each other/one another,2,bi3 ci3,bici,1920,57.23,3.2833,1275,20.42,3.1055,r,1920,.r.,.1920.
僅,仅,barely/only/merely,1,jin3/jin4,jin,1629,48.56,3.2119,1272,20.37,3.1045,d,1629,.d.,.1629.
剩,剩,have as remainder,1,sheng4,sheng,1819,54.22,3.2598,1272,20.37,3.1045,v,1819,.v.,.1819.
從未,从未,never,2,cong2 wei4,congwei,2028,60.45,3.3071,1272,20.37,3.1045,d,2028,.d.,.2028.
進展,进展,to make headway/to make progress,2,jin4 zhan3,jinzhan,1752,52.23,3.2435,1272,20.37,3.1045,vn,1598,.vn.v.,.1598.154.
在乎,在乎,determined by/to care about/to mind,2,zai4 hu5,zaihu,1840,54.85,3.2648,1269,20.33,3.1035,v,1840,.v.,.1840.
封,封,"to confer/to grant/to bestow a title/to seal/classifier for sealed objects, esp. letters/surname Feng",1,feng1,feng,2558,76.25,3.4079,1268,20.31,3.1031,q,2064,.q.v.g.,.2064.493.1.
痛,痛,ache/pain/sorrow,1,tong4,tong,2186,65.16,3.3397,1267,20.29,3.1028,a,1653,.a.g.an.,.1653.471.62.
互相,互相,each other/mutually/mutual,2,hu4 xiang1,huxiang,1688,50.32,3.2274,1267,20.29,3.1028,d,1677,.d.b.,.1677.11.
笨蛋,笨蛋,fool/idiot,2,ben4 dan4,bendan,2345,69.9,3.3701,1267,20.29,3.1028,n,2345,.n.,.2345.
攻擊,攻击,to attack/to accuse/to charge/an attack (terrorist or military),2,gong1 ji1,gongji,2677,79.8,3.4276,1267,20.29,3.1028,v,2003,.v.vn.,.2003.674.
以來,以来,since (a previous event),2,yi3 lai2,yilai,1606,47.87,3.2057,1266,20.28,3.1024,f,1606,.f.,.1606.
低,低,to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low,1,di1,di,1820,54.25,3.2601,1265,20.26,3.1021,a,1787,.a.ad.v.,.1787.17.16.
無聊,无聊,nonsense/bored,2,wu2 liao2,wuliao,1839,54.82,3.2646,1263,20.23,3.1014,a,1799,.a.an.,.1799.40.
耍,耍,to play with/to juggle,1,shua3,shua,1824,54.37,3.261,1263,20.23,3.1014,v,1824,.v.,.1824.
不知,不知,"not to know/unaware/unknowingly/fig. not to admit (defeat, hardships, tiredness etc)",2,bu4 zhi1,buzhi,1717,51.18,3.2348,1260,20.18,3.1004,v,1717,.v.,.1717.
排,排,to eliminate/to get rid of/to discharge/to drain/platoon/line up; row of logs or boards,1,pai2/pai3,pai,2015,60.07,3.3043,1260,20.18,3.1004,v,1613,.v.q.n.,.1613.376.26.
拯救,拯救,to save/to rescue,2,zheng3 jiu4,zhengjiu,2314,68.98,3.3644,1260,20.18,3.1004,v,2298,.v.vn.,.2298.16.
角色,角色,persona/character in a novel; role,2,jue2 se4,jue2se4,2403,71.63,3.3808,1259,20.17,3.1,n,2403,.n.,.2403.
圈,圈,"to confine/enclose; pen (pig)/a fold; circle/ring/loop/classifier for loops, orbits, laps of race etc",1,juan1/juan4/quan1,quan,2168,64.63,3.3361,1259,20.17,3.1,qv,1303,.qv.n.v.,.1303.689.176.
吻,吻,kiss/mouth,1,wen3,wen,2773,82.66,3.4429,1257,20.13,3.0993,v,2773,.v.,.2773.
冒,冒,"to emit/to give off/to send out (or up, forth)/brave/bold/to cover",1,mao4/mo4,mao,1590,47.4,3.2014,1257,20.13,3.0993,v,1590,.v.,.1590.
竟然,竟然,unexpectedly/to one's surprise/in spite of everything/in that crazy way/actually/to go as far as to,2,jing4 ran2,jingran,1767,52.67,3.2472,1257,20.13,3.0993,d,1767,.d.,.1767.
狀況,状况,condition/state/situation,2,zhuang4 kuang4,zhuangkuang,1838,54.79,3.2643,1256,20.12,3.099,n,1838,.n.,.1838.
普通,普通,common/ordinary/general/average,2,pu3 tong1,putong,1765,52.61,3.2467,1252,20.05,3.0976,a,1765,.a.,.1765.
狂,狂,conceited/mad,1,kuang2,kuang,1869,55.71,3.2716,1252,20.05,3.0976,g,703,.g.a.d.,.703.695.471.
傻瓜,傻瓜,idiot/foolish,2,sha3 gua1,shagua,1981,59.05,3.2969,1251,20.04,3.0973,n,1981,.n.,.1981.
印象,印象,impression,2,yin4 xiang4,yinxiang,1758,52.4,3.245,1251,20.04,3.0973,n,1758,.n.,.1758.
超級,超级,transcending/high grade/super-/ultra-,2,chao1 ji2,chaoji,2427,72.35,3.3851,1248,19.99,3.0962,b,2349,.b.d.,.2349.78.
仍,仍,still/yet/to remain,1,reng2,reng,1886,56.22,3.2755,1247,19.97,3.0959,d,1886,.d.,.1886.
輕鬆,轻松,gentle/relaxed,2,qing1 song1,qingsong,1744,51.99,3.2415,1246,19.96,3.0955,a,1599,.a.ad.,.1599.145.
顯示,显示,to show/to illustrate/to display/to demonstrate,2,xian3 shi4,xianshi,1915,57.08,3.2822,1246,19.96,3.0955,v,1908,.v.vn.,.1908.7.
無關,无关,unrelated/having nothing to do (with sth else),2,wu2 guan1,wuguan,1701,50.71,3.2307,1245,19.94,3.0952,v,1700,.v.b.,.1700.1.
某些,某些,some/certain (things),2,mou3 xie1,mouxie,1661,49.51,3.2204,1244,19.93,3.0948,r,1661,.r.,.1661.
期待,期待,to look forward to/to await/expectation,2,qi1 dai4,qidai,1736,51.75,3.2395,1244,19.93,3.0948,v,1661,.v.vn.,.1661.75.
作用,作用,"to act on/to affect/action/function/activity/impact/result/effect/purpose/intent/to play a role/corresponds to English -ity, -ism, -ization",2,zuo4 yong4,zuoyong,1739,51.84,3.2403,1242,19.89,3.0941,n,1736,.n.v.,.1736.3.
緊急,紧急,urgent,2,jin3 ji2,jinji,2126,63.37,3.3276,1240,19.86,3.0934,a,1703,.a.ad.,.1703.423.
動物,动物,animal,2,dong4 wu4,dongwu,2636,78.58,3.4209,1239,19.85,3.0931,n,2636,.n.,.2636.
老天,老天,God/Heavens,2,lao3 tian1,laotian,2063,61.5,3.3145,1239,19.85,3.0931,n,2063,.n.,.2063.
學生,学生,student/school child,2,xue2 sheng5,xuesheng,2942,87.7,3.4686,1238,19.83,3.0927,n,2942,.n.,.2942.
害,害,to do harm to/to cause trouble to/harm/evil/calamity,1,hai4,hai,1843,54.94,3.2655,1237,19.81,3.0924,v,1588,.v.n.g.,.1588.241.14.
職業,职业,job occupation/profession,2,zhi2 ye4,zhiye,1965,58.58,3.2934,1236,19.8,3.092,n,1965,.n.,.1965.
城,城,city walls/city/town,1,cheng2,cheng,2428,72.38,3.3852,1234,19.77,3.0913,n,2428,.n.,.2428.
踢,踢,kick/play (football or soccer),1,ti1,ti,2266,67.55,3.3553,1234,19.77,3.0913,v,2266,.v.,.2266.
權利,权利,power/right/privilege,2,quan2 li4,quanli,2079,61.97,3.3179,1234,19.77,3.0913,n,2079,.n.,.2079.
課,课,subject/course/class/lesson/CL:堂[tang2],1,ke4,ke,2226,66.36,3.3475,1234,19.77,3.0913,n,2226,.n.,.2226.
估計,估计,estimate/reckon,2,gu1 ji4,guji,1748,52.11,3.2425,1233,19.75,3.091,v,1692,.v.vn.,.1692.56.
正式,正式,formal/official,2,zheng4 shi4,zhengshi,1623,48.38,3.2103,1233,19.75,3.091,ad,974,.ad.a.,.974.649.
慶祝,庆祝,celebrate,2,qing4 zhu4,qingzhu,1878,55.98,3.2737,1232,19.73,3.0906,v,1727,.v.vn.,.1727.151.
